//X Y Z C2M_signed_distances[<5] R G B
0.06229571 0.00572866 -0.06927068 0.000947 255 172 51
0.07822990 0.04318923 -0.06720915 0.000118 255 172 51
0.07028335 0.04440256 -0.06734360 0.000240 255 172 51
0.08069343 0.04288558 -0.06711943 0.000093 255 172 51
0.08365372 0.04055110 -0.06694471 0.000122 255 172 51
0.08452021 0.03804482 -0.06747550 0.000592 255 172 51
0.08444068 0.03540973 -0.06769823 0.000810 255 172 51
0.08817518 0.01925381 -0.06810012 0.001027 255 172 51
0.08674937 0.02651921 -0.06826014 0.000995 255 172 51
0.08607033 0.01298521 -0.06765704 0.000579 255 172 51
0.08027339 0.00258439 -0.06935306 0.001360 255 172 51
0.07726352 -0.00228735 -0.06908817 0.001301 255 172 51
0.07122195 -0.00277363 -0.06889345 0.000999 255 172 51
0.07505553 -0.00450042 -0.06896369 0.001212 255 172 51
0.06257493 0.00404141 -0.06923867 0.000951 255 172 51
0.08124125 0.00445962 -0.06928233 0.001013 255 172 51
0.06315228 0.04355513 -0.06759643 0.000459 255 172 51
0.08557236 0.03316575 -0.06801204 0.001025 255 172 51
0.07672454 0.04617967 -0.06726906 0.000047 255 172 51
0.07339466 0.04577737 -0.06731153 0.000159 255 172 51
0.08205965 0.04264279 -0.06695641 0.000004 255 172 51
0.08475780 0.03966857 -0.06709340 0.000250 255 172 51
0.08325212 0.04142455 -0.06674401 -0.000130 255 172 51
0.08468040 0.03649656 -0.06766208 0.000767 255 172 51
0.08561929 0.03552931 -0.06789371 0.000944 255 172 51
0.06842275 0.04544084 -0.06741667 0.000260 255 172 51
0.08650219 0.03205480 -0.06821837 0.001129 255 172 51
0.08668526 0.01453696 -0.06793260 0.000811 255 172 51
0.08758721 0.01595023 -0.06805138 0.000959 255 172 51
0.08912055 0.01758699 -0.06806602 0.001078 255 172 51
0.08914410 0.02395503 -0.06822059 0.001048 255 172 51
0.08956157 0.02036468 -0.06809646 0.001070 255 172 51
0.08832270 0.02892894 -0.06835971 0.001116 255 172 51
0.08057480 0.00375558 -0.06928956 0.001159 255 172 51
0.08031289 0.00098638 -0.06948739 0.001556 255 172 51
0.07944384 -0.00200500 -0.06936837 0.001546 255 172 51
0.06864195 -0.00358883 -0.06890921 0.000950 255 172 51
0.07272390 -0.00473448 -0.06891892 0.001110 255 172 51
0.06310601 -0.00104605 -0.06912697 0.000942 255 172 51
0.08232930 0.00512887 -0.06920324 0.000649 255 172 51
0.06129462 0.00505494 -0.06928851 0.000948 255 172 51
0.06614945 0.04625853 -0.06753008 0.000327 255 172 51
0.08014329 0.04514334 -0.06711264 -0.000068 255 172 51
0.06983635 0.04797393 -0.06745081 0.000205 255 172 51
0.08273923 0.04206588 -0.06678732 -0.000115 255 172 51
0.08185254 0.04407632 -0.06686135 -0.000082 255 172 51
0.08453397 0.04053403 -0.06665882 -0.000134 255 172 51
0.08396567 0.04122546 -0.06646919 -0.000321 255 172 51
0.08541675 0.03717712 -0.06771605 0.000783 255 172 51
0.08779589 0.03175482 -0.06837855 0.001191 255 172 51
0.08739355 0.01509872 -0.06794830 0.000875 255 172 51
0.08883382 0.01618996 -0.06799941 0.001002 255 172 51
0.09034774 0.01875143 -0.06804769 0.001118 255 172 51
0.08899868 0.02659545 -0.06830066 0.001053 255 172 51
0.09022428 0.02208405 -0.06814854 0.001086 255 172 51
0.08799789 0.03034604 -0.06838476 0.001162 255 172 51
0.08132043 0.00322059 -0.06949598 0.001286 255 172 51
0.08138916 0.00176462 -0.06973404 0.001639 255 172 51
0.08010417 -0.00038464 -0.06948994 0.001576 255 172 51
0.07727288 -0.00551935 -0.06907049 0.001369 255 172 51
0.07902857 -0.00472094 -0.06928274 0.001554 255 172 51
0.06456368 -0.00385176 -0.06898912 0.000901 255 172 51
0.07092504 -0.00464284 -0.06890790 0.001044 255 172 51
0.07349948 -0.00745631 -0.06890533 0.001181 255 172 51
0.08233196 0.00394026 -0.06952418 0.000938 255 172 51
0.06226642 0.04732671 -0.06773528 0.000455 255 172 51
0.08674754 0.03438795 -0.06819703 0.001135 255 172 51
0.07970572 0.04761863 -0.06717163 -0.000131 255 172 51
0.07482163 0.04698182 -0.06731390 0.000084 255 172 51
0.07431252 0.04910891 -0.06740761 0.000097 255 172 51
0.08276048 0.04315507 -0.06657916 -0.000249 255 172 51
0.08556232 0.03889000 -0.06739510 0.000495 255 172 51
0.08532532 0.04024873 -0.06659815 -0.000207 255 172 51
0.08348350 0.04212715 -0.06620585 -0.000578 255 172 51
0.08358696 0.04159672 -0.06654655 -0.000272 255 172 51
0.08570033 0.03809889 -0.06763135 0.000684 255 172 51
0.08766164 0.03370757 -0.06837021 0.001219 255 172 51
0.08807397 0.01394778 -0.06751464 0.000570 255 172 51
0.08831141 0.01518250 -0.06788307 0.000890 255 172 51
0.09077553 0.01728221 -0.06801961 0.001131 255 172 51
0.08990620 0.01665287 -0.06803736 0.001102 255 172 51
0.09105402 0.02582469 -0.06826268 0.001087 255 172 51
0.09117272 0.02391134 -0.06820665 0.001089 255 172 51
0.09193015 0.02024671 -0.06805915 0.001151 255 172 51
0.08964162 0.03209840 -0.06842972 0.001144 255 172 51
